scene_id,k,method,seconds,found,used_reconfigurations,joint_cost,expanded,generated
T30,1,G0,10.0,False,,,3125,31128
T30,1,G0,30.0,False,,,9384,93705
T30,1,G0,60.0,False,,,18895,187966
T30,1,G1,10.0,False,,,84,756
T30,1,G1,30.0,False,,,237,1202
T30,1,G1,60.0,False,,,479,1851
T30,1,G1,120.0,False,,,1002,3430
T30,1,G1,300.0,True,0,95.8375061224015,3013,9567
T30,1,S,10.0,False,,,3302,26171
T30,1,S,30.0,False,,,10121,80477
T30,1,S,60.0,False,,,20371,161227
T30,2,G0,10.0,False,,,970,9521
T30,2,G0,30.0,False,,,2965,29534
T30,2,G0,60.0,False,,,5969,59496
T30,2,G1,10.0,False,,,32,288
T30,2,G1,30.0,False,,,86,756
T30,2,G1,60.0,False,,,161,934
T30,2,G1,120.0,False,,,307,1471
T30,2,G1,300.0,False,,,794,2969
T30,2,S,10.0,False,,,1548,12191
T30,2,S,30.0,False,,,4677,37255
T30,2,S,60.0,False,,,9326,74244
T30,2,S,120.0,False,,,18679,147923
T27,1,G0,10.0,False,,,3182,39282
T27,1,G0,30.0,False,,,9655,117083
T27,1,G0,60.0,False,,,19375,236125
T27,1,G1,10.0,False,,,86,695
T27,1,G1,30.0,False,,,251,1061
T27,1,G1,60.0,False,,,497,1527
T27,1,G1,120.0,False,,,1001,2485
T27,1,G1,300.0,False,,,2482,5344
T27,1,S,10.0,False,,,3255,31284
T27,1,S,30.0,False,,,9926,93903
T27,1,S,60.0,False,,,19880,189270
T27,2,G0,10.0,False,,,959,11778
T27,2,G0,30.0,False,,,2951,36231
T27,2,G0,60.0,False,,,5928,73122
T27,2,G0,120.0,False,,,11872,143063
T27,2,G1,10.0,False,,,32,281
T27,2,G1,30.0,False,,,88,703
T27,2,G1,60.0,False,,,170,879
T27,2,G1,120.0,False,,,331,1192
T27,2,G1,300.0,False,,,816,2096
T27,2,S,10.0,False,,,1502,14284
T27,2,S,30.0,False,,,4667,44926
T27,2,S,60.0,False,,,9384,88912
T33,1,G0,10.0,False,,,3055,34743
T33,1,G0,30.0,False,,,9298,105986
T33,1,G0,60.0,False,,,18641,213427
T33,1,G1,10.0,False,,,89,1056
T33,1,G1,30.0,False,,,252,1382
T33,1,G1,60.0,False,,,496,1819
T33,1,G1,120.0,False,,,984,2652
T33,1,G1,300.0,False,,,2460,5192
T33,1,S,10.0,False,,,3179,35375
T33,1,S,30.0,False,,,9658,107700
T33,1,S,60.0,False,,,19397,216922
T33,2,G0,10.0,False,,,915,10535
T33,2,G0,30.0,False,,,2782,31665
T33,2,G0,60.0,False,,,5581,63449
T33,2,G0,120.0,False,,,11160,127259
T33,2,G1,10.0,False,,,29,329
T33,2,G1,30.0,False,,,86,1022
T33,2,G1,60.0,False,,,159,1226
T33,2,G1,120.0,False,,,308,1507
T33,2,G1,300.0,False,,,749,2287
T33,2,S,10.0,False,,,1338,14930
T33,2,S,30.0,False,,,4083,45452
T33,2,S,60.0,False,,,8203,91534
