scene_id,edge_kind,reason,accepted,attempts
T27,cross_port,accepted,True,1573
T27,cross_port,on_collision,False,21
T27,cross_port,on_ik_continuation,False,26
T27,cross_port,on_joint_step,False,2362
T27,entry:raster_u_phase_0.00/forward,accepted,True,1
T27,entry:raster_u_phase_0.00/forward,on_joint_step,False,2
T27,entry:raster_u_phase_0.00/reverse,accepted,True,1
T27,entry:raster_u_phase_0.00/reverse,on_joint_step,False,2
T27,entry:raster_u_phase_0.25/forward,accepted,True,1
T27,entry:raster_u_phase_0.25/forward,on_joint_step,False,2
T27,entry:raster_u_phase_0.25/reverse,accepted,True,1
T27,entry:raster_u_phase_0.25/reverse,on_joint_step,False,2
T27,entry:spiral_phase_0.00/forward,accepted,True,1
T27,entry:spiral_phase_0.00/forward,on_joint_step,False,2
T27,entry:spiral_phase_0.00/reverse,accepted,True,1
T27,entry:spiral_phase_0.00/reverse,on_joint_step,False,2
T27,off_reconfiguration,accepted,True,3732
T27,off_reconfiguration,dense_motion_contract,False,244
T27,off_reconfiguration,off_retreat_ik,False,24
T27,source,accepted,True,780
T27,source,dense_motion_contract,False,86
T27,source,on_collision,False,202
T27,source,on_ik_continuation,False,41
T27,source,on_joint_step,False,2891
T30,cross_port,accepted,True,1529
T30,cross_port,dense_motion_contract,False,2
T30,cross_port,on_collision,False,23
T30,cross_port,on_ik_continuation,False,15
T30,cross_port,on_joint_step,False,2413
T30,entry:raster_u_phase_0.00/forward,accepted,True,1
T30,entry:raster_u_phase_0.00/forward,on_joint_step,False,2
T30,entry:raster_u_phase_0.00/reverse,accepted,True,1
T30,entry:raster_u_phase_0.00/reverse,on_joint_step,False,2
T30,entry:raster_u_phase_0.25/forward,accepted,True,1
T30,entry:raster_u_phase_0.25/forward,on_joint_step,False,2
T30,entry:raster_u_phase_0.25/reverse,accepted,True,1
T30,entry:raster_u_phase_0.25/reverse,on_joint_step,False,2
T30,entry:spiral_phase_0.00/forward,accepted,True,1
T30,entry:spiral_phase_0.00/forward,on_joint_step,False,2
T30,entry:spiral_phase_0.00/reverse,accepted,True,1
T30,entry:spiral_phase_0.00/reverse,on_joint_step,False,2
T30,off_reconfiguration,accepted,True,3511
T30,off_reconfiguration,dense_motion_contract,False,472
T30,off_reconfiguration,off_retreat_ik,False,17
T30,source,accepted,True,824
T30,source,dense_motion_contract,False,104
T30,source,on_collision,False,84
T30,source,on_ik_continuation,False,141
T30,source,on_joint_step,False,2847
T33,cross_port,accepted,True,1622
T33,cross_port,on_ik_continuation,False,51
T33,cross_port,on_joint_step,False,2309
T33,entry:raster_u_phase_0.00/forward,accepted,True,1
T33,entry:raster_u_phase_0.00/forward,on_joint_step,False,2
T33,entry:raster_u_phase_0.00/reverse,accepted,True,1
T33,entry:raster_u_phase_0.00/reverse,on_collision,False,1
T33,entry:raster_u_phase_0.00/reverse,on_joint_step,False,1
T33,entry:raster_u_phase_0.25/forward,accepted,True,1
T33,entry:raster_u_phase_0.25/forward,on_joint_step,False,2
T33,entry:raster_u_phase_0.25/reverse,accepted,True,1
T33,entry:raster_u_phase_0.25/reverse,on_joint_step,False,2
T33,entry:spiral_phase_0.00/forward,accepted,True,1
T33,entry:spiral_phase_0.00/forward,on_joint_step,False,2
T33,entry:spiral_phase_0.00/reverse,accepted,True,1
T33,entry:spiral_phase_0.00/reverse,on_collision,False,1
T33,entry:spiral_phase_0.00/reverse,on_joint_step,False,1
T33,off_reconfiguration,accepted,True,3491
T33,off_reconfiguration,dense_motion_contract,False,469
T33,off_reconfiguration,off_retreat_ik,False,40
T33,source,accepted,True,937
T33,source,dense_motion_contract,False,88
T33,source,on_collision,False,121
T33,source,on_ik_continuation,False,239
T33,source,on_joint_step,False,2615
