scene_id,placement_level,k,method,graph_hash,found,cold_start,first_solution_s,first_improvement_s,search_seconds,termination,graph_optimality_proved,on_segments,reconfigurations,J_q,E_miss_graph,E_rep_graph,expanded,generated,dominance_pruned,past_repeat_pruned,segment_pruned,segment_reachability_pruned,ordinary_reachability_pruned,prospective_repeat_pruned,bound_calls,bound_cache_hits,bound_finite_positive,bound_seconds,peak_memory_bytes,plan_file
T30,P_low,1,F,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,False,True,,,0.012080118060112,queue_exhausted,True,,,,,,93,87,0,0,0,0,0,0,0,0,0,0.0,2068426752,
T30,P_low,1,G0,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,False,True,,,93.33083815127611,memory_limit_projected,False,,,,,,29530,293533,17888,147252,98394,0,0,0,0,0,0,0.0,2075811840,
T30,P_low,1,G1,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,True,True,143.10348197817802,,300.08225854486227,wall_time,False,1,0,95.8375061224015,0.019894457604516455,0.09669299514765811,3013,9567,2021,830,3049,0,0,2048,2292,721,3011,289.7825297638774,2071982080,results/e09_continuous_routing_repair_v1/selected_plan_witnesses/fbcc31717ab3531c4098e823c63adb2e1d6b5356512074994fe1b6bfca4d3107.npz
T30,P_low,1,S,37446de6076e073466e00991621abdddd1c7e7056017eaadcfd9e2f451e8893c,False,True,,,86.87682001292706,memory_limit_projected,False,,,,,,29530,233631,17888,147252,38492,0,0,0,0,0,0,0.0,2075758592,
T30,P_low,2,F,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,False,True,,,0.05772390961647034,queue_exhausted,True,,,,,,486,491,11,0,0,0,0,0,0,0,0,0.0,2088054784,
T30,P_low,2,G0,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,False,True,,,113.31447324901819,memory_limit_projected,False,,,,,,11318,112842,10057,72785,0,0,0,0,0,0,0,0.0,2190942208,
T30,P_low,2,G1,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,False,True,,,300.2319169342518,wall_time,False,,,,,,794,2969,645,201,0,0,0,495,746,48,792,291.95221222937107,2089824256,
T30,P_low,2,S,37446de6076e073466e00991621abdddd1c7e7056017eaadcfd9e2f451e8893c,False,True,,,125.13840851187706,memory_limit_projected,False,,,,,,19480,154272,14595,109676,0,0,0,0,0,0,0,0.0,2096648192,
T27,P_mid,1,F,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,True,True,0.014860324561595917,,0.022477544844150543,queue_exhausted,True,1,0,90.01135970918898,0.018230604966974054,0.02142448114298332,196,192,0,0,0,0,0,0,0,0,0,0.0,2379931648,results/e09_continuous_routing_repair_v1/selected_plan_witnesses/ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534.npz
T27,P_mid,1,G0,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,False,True,,,91.52212896198034,memory_limit_projected,False,,,,,,29571,358971,1603,160952,166416,0,0,0,0,0,0,0.0,2384285696,
T27,P_mid,1,G1,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,False,True,,,300.0852250158787,wall_time,False,,,,,,2482,5344,26,142,2289,0,0,2030,2470,12,2480,291.4390621185303,2381557760,
T27,P_mid,1,S,d8c8f4f6abf62c8b63b89261889d2c156f8cbc1afec9696ac2de4384c71e9c9b,False,True,,,89.03447022289038,memory_limit_projected,False,,,,,,29571,279931,1603,160952,87376,0,0,0,0,0,0,0.0,2384171008,
T27,P_mid,2,F,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,True,True,0.035259149968624115,,0.07043005526065826,queue_exhausted,True,1,0,90.01135970918898,0.018230604966974054,0.02142448114298332,196,681,0,0,0,0,0,0,0,0,0,0.0,2390249472,results/e09_continuous_routing_repair_v1/selected_plan_witnesses/ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534.npz
T27,P_mid,2,G0,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,False,True,,,159.64645402133465,memory_limit_projected,False,,,,,,15798,191762,657,161100,0,0,0,0,0,0,0,0.0,2400747520,
T27,P_mid,2,G1,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,False,True,,,300.18791968375444,wall_time,False,,,,,,816,2096,6,46,0,0,0,624,816,0,814,291.5666874498129,2391814144,
T27,P_mid,2,S,d8c8f4f6abf62c8b63b89261889d2c156f8cbc1afec9696ac2de4384c71e9c9b,False,True,,,111.01433312147856,memory_limit_projected,False,,,,,,17314,164884,820,134065,0,0,0,0,0,0,0,0.0,2399756288,
T33,P_high,1,F,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,0.01297314465045929,queue_exhausted,True,,,,,,90,84,0,0,0,0,0,0,0,0,0,0.0,2479521792,
T33,P_high,1,G0,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,94.83946918696165,memory_limit_projected,False,,,,,,29507,337822,15916,165556,126350,0,0,0,0,0,0,0.0,2481274880,
T33,P_high,1,G1,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,300.0957455560565,wall_time,False,,,,,,2460,5192,111,0,2146,0,0,2027,2455,5,2458,291.38937532156706,2481152000,
T33,P_high,1,S,5e7df5062d959ec69f577590085072d78b9b3f92fcab66f7cbfe33520b52ef5b,False,True,,,91.07791268080473,memory_limit_projected,False,,,,,,29507,329466,15916,165556,117994,0,0,0,0,0,0,0.0,2481274880,
T33,P_high,2,F,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,0.1674659103155136,queue_exhausted,True,,,,,,1558,1564,12,0,0,0,0,0,0,0,0,0.0,2523402240,
T33,P_high,2,G0,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,146.36020071059465,memory_limit_projected,False,,,,,,13610,155457,10421,115033,0,0,0,0,0,0,0,0.0,2531053568,
T33,P_high,2,G1,d964e51c1118d79a09f5368a356c14a4852f4efa0bc6cb1f8ecd3a76508cbdbd,False,True,,,300.0113659873605,wall_time,False,,,,,,749,2287,113,0,0,0,0,548,745,4,747,291.5680271908641,2524962816,
T33,P_high,2,S,5e7df5062d959ec69f577590085072d78b9b3f92fcab66f7cbfe33520b52ef5b,False,True,,,102.6927253305912,memory_limit_projected,False,,,,,,14114,157687,10765,116923,0,0,0,0,0,0,0,0.0,2530668544,
