scene_id,k,method,segment_budget_reachability,ordinary_reachability,past_repeat,dominance,prospective_repeat,bound_calls,bound_cache_hits,bound_finite_positive,bound_seconds
T30,1,F,0,0,0,0,0,0,0,0,0.0
T30,1,G0,0,0,147252,17888,0,0,0,0,0.0
T30,1,G1,0,0,830,2021,2048,2292,721,3011,289.7825297638774
T30,1,S,0,0,147252,17888,0,0,0,0,0.0
T30,2,F,0,0,0,11,0,0,0,0,0.0
T30,2,G0,0,0,72785,10057,0,0,0,0,0.0
T30,2,G1,0,0,201,645,495,746,48,792,291.95221222937107
T30,2,S,0,0,109676,14595,0,0,0,0,0.0
T27,1,F,0,0,0,0,0,0,0,0,0.0
T27,1,G0,0,0,160952,1603,0,0,0,0,0.0
T27,1,G1,0,0,142,26,2030,2470,12,2480,291.4390621185303
T27,1,S,0,0,160952,1603,0,0,0,0,0.0
T27,2,F,0,0,0,0,0,0,0,0,0.0
T27,2,G0,0,0,161100,657,0,0,0,0,0.0
T27,2,G1,0,0,46,6,624,816,0,814,291.5666874498129
T27,2,S,0,0,134065,820,0,0,0,0,0.0
T33,1,F,0,0,0,0,0,0,0,0,0.0
T33,1,G0,0,0,165556,15916,0,0,0,0,0.0
T33,1,G1,0,0,0,111,2027,2455,5,2458,291.38937532156706
T33,1,S,0,0,165556,15916,0,0,0,0,0.0
T33,2,F,0,0,0,12,0,0,0,0,0.0
T33,2,G0,0,0,115033,10421,0,0,0,0,0.0
T33,2,G1,0,0,0,113,548,745,4,747,291.5680271908641
T33,2,S,0,0,116923,10765,0,0,0,0,0.0
