scene_id,k,method,segment_budget_reachability,ordinary_reachability,past_repeat,dominance,prospective_repeat,bound_calls,bound_cache_hits,bound_finite_positive,bound_seconds
T30,1,F,0,0,0,0,0,0,0,0,0.0
T30,1,G0,1,0,0,0,0,0,0,0,0.0
T30,1,G1,1,0,0,0,0,0,0,0,0.0
T30,2,F,0,0,0,0,0,0,0,0,0.0
T30,2,G0,1827,0,162,470,0,0,0,0,0.0
T30,2,G1,1110,0,2,243,72,362,0,351,25.78937093168497
T27,1,F,0,0,0,0,0,0,0,0,0.0
T27,1,G0,0,0,131,348,0,0,0,0,0.0
T27,1,G1,0,0,0,194,70,338,0,331,5.73782704770565
T27,2,F,0,0,0,0,0,0,0,0,0.0
T27,2,G0,0,0,151,348,0,0,0,0,0.0
T27,2,G1,0,0,51,333,42,474,0,356,35.614408768713474
T33,1,F,0,0,0,0,0,0,0,0,0.0
T33,1,G0,1,0,0,0,0,0,0,0,0.0
T33,1,G1,1,0,0,0,0,0,0,0,0.0
T33,2,F,0,0,0,0,0,0,0,0,0.0
T33,2,G0,1819,0,172,490,0,0,0,0,0.0
T33,2,G1,1409,0,13,370,71,453,10,417,31.543059460818768
