scene_id,k,method,seconds,expanded,candidates,open
T30,1,A,10.0,14,1,63
T30,1,A,30.0,15,2,66
T30,1,A,60.0,17,4,68
T30,1,A,120.0,29295,8,108
T30,1,B,10.0,8,1,61
T30,1,B,30.0,9,2,66
T30,1,B,60.0,11,4,72
T30,1,B,120.0,27976,8,88
T30,2,B,10.0,15,1,114
T30,2,B,30.0,16,2,120
T30,2,B,60.0,18,4,132
T30,2,B,120.0,18055,8,151
T30,2,A,10.0,27,1,122
T30,2,A,30.0,28,2,126
T30,2,A,60.0,47,7,135
T30,2,A,120.0,18946,8,210
T27,1,A,10.0,9444,0,54
T27,1,A,30.0,21775,0,69
T27,1,A,60.0,35097,0,48
T27,1,B,10.0,9051,0,57
T27,1,B,30.0,21297,0,61
T27,1,B,60.0,34566,0,50
T27,2,B,10.0,7833,0,61
T27,2,B,30.0,19464,0,57
T27,2,B,60.0,32519,0,52
T27,2,A,10.0,8378,0,60
T27,2,A,30.0,20350,0,65
T27,2,A,60.0,33539,0,48
T33,1,A,10.0,11,1,57
T33,1,A,30.0,13,3,66
T33,1,A,60.0,601,6,67
T33,1,A,120.0,29576,8,124
T33,1,B,10.0,4,1,33
T33,1,B,30.0,8,2,53
T33,1,B,60.0,264,6,71
T33,1,B,120.0,25360,6,73
T33,2,B,10.0,9,1,89
T33,2,B,30.0,17,2,115
T33,2,B,60.0,152,8,156
T33,2,B,120.0,13222,8,149
T33,2,A,10.0,28,1,177
T33,2,A,30.0,30,2,186
T33,2,A,60.0,175,8,249
T33,2,A,120.0,14536,8,229
