scene_id,k,method,graph_hash,initializer_seconds,method_seconds,core_seconds,termination,graph_goal_found,validated_fallback_available,fallback_retained,novel_finalists,first_Q2_s,first_Q3_pass_s,expanded,generated_actions,atomic_equivalent_work,peak_open,peak_ancestry,peak_pareto_records,heuristic_evictions,dominance_pruned,repeat_pruned,segment_pruned,reachability_pruned,objective_pruned,prospective_bound_calls,screen_calls,screen_seconds,run_actions_evaluated,run_cache_hits,run_cache_misses,run_cache_peak_bytes,plan_files_json,remaining_budget_seconds,stale_labels,rediscoveries,process_peak_bytes
T30,1,F,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.00850532203912735,0.0,0.00850532203912735,queue_exhausted,False,False,False,0,,,93,87,87,,,,0,,,,,,0,0,0.0,0,0,0,0,[],,,,
T30,1,A,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.00850532203912735,141.2468776702881,141.2553829923272,retained_record_budget,True,False,False,2,0.08733518421649933,15.768581099808216,36910,359776,359776,124,30002,30001,5078,48472,137296,130872,0,0,0,4,60.99626888334751,0,0,0,0,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7.npz"", ""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/42f44e880a45d9abec6e5e73b476d1f114073eb045d3f220397040714b6cc5ec.npz""]",299.9914946779609,0,0,2911830016
T30,1,B,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.00850532203912735,145.62826476246119,145.6367700845003,retained_record_budget,True,False,False,2,0.06588131189346313,15.91798920929432,36163,535440,1431038,105,30004,29974,3865,51750,320369,121758,0,0,0,4,61.01892237365246,190710,31240,4923,66924520,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7.npz"", ""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/42f44e880a45d9abec6e5e73b476d1f114073eb045d3f220397040714b6cc5ec.npz""]",299.9914946779609,0,0,2958356480
T30,2,F,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.04219582676887512,0.0,0.04219582676887512,queue_exhausted,False,False,False,0,,,486,491,491,,,,0,,,,,,0,0,0.0,0,0,0,0,[],,,,
T30,2,B,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.04219582676887512,201.7971830368042,201.83937886357307,retained_record_budget,True,False,False,2,0.1477048471570015,15.673620529472828,37741,467088,1219538,152,30002,29772,34908,47218,298587,46565,4534,0,0,4,59.94407809525728,163631,28941,4266,66924808,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7.npz"", ""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/4f662f5de7ec4d56961ab268a62d76bc3c9d46ddf1f595813bbd457dd5be408c.npz""]",299.9578041732311,0,0,2972868608
T30,2,A,b7003fb6c2c77cec38501c86ce7f05d92a8e9763b5bd7ce0d551586c37c48daf,0.04219582676887512,192.58026984333992,192.6224656701088,retained_record_budget,True,False,False,2,0.20105267316102982,15.653195358812809,34652,284712,284712,215,30000,29882,39604,48774,116881,42777,4381,0,0,4,59.60403399914503,0,0,0,0,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7.npz"", ""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/4f662f5de7ec4d56961ab268a62d76bc3c9d46ddf1f595813bbd457dd5be408c.npz""]",299.9578041732311,0,0,2911051776
T27,1,F,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,0.01753184199333191,0.0,0.01753184199333191,queue_exhausted,True,True,True,0,,,196,192,192,,,,0,,,,,,0,0,0.0,0,0,0,0,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534.npz""]",,,,
T27,1,A,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,0.01753184199333191,72.06379453837872,72.08132638037205,retained_record_budget,False,True,True,0,,,39154,510956,510956,77,30001,30001,27,33507,0,226416,0,211461,0,0,0.0,0,0,0,0,[],299.98246815800667,0,0,2700521472
T27,1,B,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,0.01753184199333191,74.05930129438639,74.07683313637972,retained_record_budget,False,True,True,0,,,39166,575952,903851,76,30002,29998,40,33577,26001,226543,0,250234,0,0,0.0,64683,39077,89,66720480,[],299.98246815800667,0,0,2767974400
T27,2,F,1a938aadb2b5273289c0acce3b9053fc935a9a39e794a53a32c8f7d83509eec7,0.04729675501585007,0.0,0.04729675501585007,queue_exhausted,True,True,True,0,,,196,681,681,,,,0,,,,,,0,0,0.0,0,0,0,0,"[""results/e10_structured_anytime_routing_v1/selected_plan_witnesses/ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534.npz""]",,,,
