scene_id,k,method,witness_hash,pointwise_counts_equal,different_cells,max_count_difference
T27,1,F,ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534,True,0,0
T27,2,F,ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534,True,0,0
T30,1,A,e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,True,0,0
T30,1,A,42f44e880a45d9abec6e5e73b476d1f114073eb045d3f220397040714b6cc5ec,True,0,0
T30,1,B,e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,True,0,0
T30,1,B,42f44e880a45d9abec6e5e73b476d1f114073eb045d3f220397040714b6cc5ec,True,0,0
T30,2,B,e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,True,0,0
T30,2,B,4f662f5de7ec4d56961ab268a62d76bc3c9d46ddf1f595813bbd457dd5be408c,True,0,0
T30,2,A,e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,True,0,0
T30,2,A,4f662f5de7ec4d56961ab268a62d76bc3c9d46ddf1f595813bbd457dd5be408c,True,0,0
T33,1,A,0243dd9bc5b3315eac93cb2a30771e5bbbdfca1a7637e735aba43b419ec070bc,True,0,0
T33,1,A,3e5c499258c4dbaa887f7ae466b0272cf83888103b3715f50361fcaa9a67be0b,True,0,0
T33,1,B,0243dd9bc5b3315eac93cb2a30771e5bbbdfca1a7637e735aba43b419ec070bc,True,0,0
T33,1,B,3e5c499258c4dbaa887f7ae466b0272cf83888103b3715f50361fcaa9a67be0b,True,0,0
T33,2,B,0243dd9bc5b3315eac93cb2a30771e5bbbdfca1a7637e735aba43b419ec070bc,True,0,0
T33,2,B,3e5c499258c4dbaa887f7ae466b0272cf83888103b3715f50361fcaa9a67be0b,True,0,0
T33,2,A,3e5c499258c4dbaa887f7ae466b0272cf83888103b3715f50361fcaa9a67be0b,True,0,0
