phase,scene_id,k,method,graph_construction_s,F_search_s,method_search_s,core_s,online_screen_s,validation_calls,validation_actual_s,cache_semantics
DEV,T30,1,F,0,0.008216671645641327,0.0,0.008216671645641327,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T30,1,A,0,0.008216671645641327,140.47686856240034,140.48508523404598,60.926167875528336,2,136.4359137788415,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T30,1,A_root,0,0.008216671645641327,120.14699103683233,120.15520770847797,62.388396844267845,1,69.81292621791363,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T30,1,P,0,0.008216671645641327,61.793853640556335,61.80207031220198,60.81436349451542,2,66.473746471107,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T27,1,F,0,0.015973813831806183,0.0,0.015973813831806183,,1,64.15381773561239,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T27,1,P,0,0.015973813831806183,1.2671052813529968,1.283079095184803,0.0,1,1.2889504432678223e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T27,1,A,0,0.015973813831806183,72.89390398561954,72.90987779945135,0.0,1,1.385807991027832e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T27,1,A_root,0,0.015973813831806183,54.66154530644417,54.677519120275974,0.0,1,1.341104507446289e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T33,1,F,0,0.009347602725028992,0.0,0.009347602725028992,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T33,1,A_root,0,0.009347602725028992,61.989388175308704,61.99873577803373,0.0,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T33,1,P,0,0.009347602725028992,58.684521056711674,58.6938686594367,57.692681699991226,2,130.1463414207101,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
DEV,T33,1,A,0,0.009347602725028992,137.53887074440718,137.5482183471322,57.340536154806614,2,2.3543834686279297e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,1,F,701.3581381067634,0.010278373956680298,0.0,0.010278373956680298,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,1,A,701.3581381067634,0.010278373956680298,161.24881464242935,161.25909301638603,59.60902025550604,2,130.26573346555233,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,1,P,701.3581381067634,0.010278373956680298,63.066381990909576,63.07666036486626,61.85127520561218,2,130.912267267704,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,2,F,701.3581381067634,0.1621382161974907,0.0,0.1621382161974907,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,2,P,701.3581381067634,0.1621382161974907,65.32169717550278,65.48383539170027,61.3533284291625,2,132.4341334477067,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H00,2,A,701.3581381067634,0.1621382161974907,247.80589804053307,247.96803625673056,60.777405969798565,2,131.73779647052288,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,1,F,768.5316225290298,0.017911121249198914,0.0,0.017911121249198914,,1,64.68499810248613,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,1,A,768.5316225290298,0.017911121249198914,125.11456118524075,125.13247230648994,57.82227595150471,3,129.9444279745221,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,1,P,768.5316225290298,0.017911121249198914,1.3517422303557396,1.3696533516049385,0.0,1,1.8477439880371094e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,2,F,768.5316225290298,0.05299670249223709,0.0,0.05299670249223709,,1,64.61457165330648,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,2,P,768.5316225290298,0.05299670249223709,2.7663732320070267,2.8193699344992638,0.0,1,1.2218952178955078e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H01,2,A,768.5316225290298,0.05299670249223709,129.29884023219347,129.3518369346857,57.518231958150864,3,129.77214400470257,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,1,F,795.4368765875697,0.010010011494159698,0.0,0.010010011494159698,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,1,A,795.4368765875697,0.010010011494159698,145.96829058229923,145.9783005937934,58.82249007374048,2,129.69667029380798,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,1,P,795.4368765875697,0.010010011494159698,60.219279795885086,60.229289807379246,59.17415218055248,2,129.14388133585453,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,2,F,795.4368765875697,0.04958505928516388,0.0,0.04958505928516388,,1,76.55158945173025,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,2,P,795.4368765875697,0.04958505928516388,62.84187079966068,62.89145585894585,58.9290147125721,3,131.18673529475927,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H02,2,A,795.4368765875697,0.04958505928516388,188.33239628374577,188.38198134303093,59.29831347614527,3,130.0444006845355,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,1,F,745.3854438588023,0.019038580358028412,0.0,0.019038580358028412,,1,63.82783146947622,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,1,A,745.3854438588023,0.019038580358028412,64.40392383933067,64.4229624196887,0.0,1,1.7136335372924805e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,1,P,745.3854438588023,0.019038580358028412,1.4697780087590218,1.4888165891170502,0.0,1,1.2218952178955078e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,2,F,745.3854438588023,0.05258938670158386,0.0,0.05258938670158386,,1,63.47766602784395,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,2,P,745.3854438588023,0.05258938670158386,3.1148198395967484,3.167409226298332,0.0,1,1.1101365089416504e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H03,2,A,745.3854438588023,0.05258938670158386,69.63467863947153,69.68726802617311,0.0,1,1.5944242477416992e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H04,1,F,765.4459305778146,0.009355530142784119,0.0,0.009355530142784119,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H04,1,A,765.4459305778146,0.009355530142784119,157.2660413980484,157.27539692819118,58.20465113222599,2,129.5625355988741,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H04,1,P,765.4459305778146,0.009355530142784119,59.477332547307014,59.4866880774498,58.447190418839455,2,2.3618340492248535e-06,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
TRANSFER,H04,2,F,765.4459305778146,0.06716423481702805,0.0,0.06716423481702805,,0,0,same witness+k+geometry+model within phase; uncached-equivalent retained in event roles
