scene_id,attempt_id,kind,geometry_arc_id,source_node,target_node,source_port,target_port,source_rank,target_rank,accepted,reason,ik_calls_after,elapsed_s,max_position_error_m,max_axis_error_deg,min_sigma5,min_joint_margin,collision_free,projection_residual_max_m
H00,0,source,0,0,3,0,1,0,0,False,dense_motion_contract,2104,0.19137857854366302,0.00015532661963887855,0.06354798156291963,0.7164511400587935,0.21307782299289107,True,4.800318390563163e-06
H00,1,cross_port,470,0,497,0,160,0,0,True,accepted,2119,0.018502846360206604,3.884601535619991e-05,0.008429144944009011,0.7297971196900984,0.22420295544724872,True,4.800318390563163e-06
H00,2,off_reconfiguration,-1,0,1,0,0,0,1,False,off_retreat_ik,2121,0.00964413583278656,,,,,,
H00,3,source,1,3,0,1,0,0,0,False,dense_motion_contract,2321,0.1844857931137085,0.00015507146209165222,0.06357595727976022,0.7164511400587935,0.21307782299289107,True,4.800318390563163e-06
H00,4,cross_port,471,0,247,0,80,0,0,True,accepted,2343,0.025291956961154938,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22826721688143656,True,4.800318390563163e-06
H00,5,off_reconfiguration,-1,0,2,0,0,0,2,True,accepted,2345,0.03880711644887924,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True,0.6958100392761144
H00,6,source,2,3,6,1,2,0,0,True,accepted,2545,0.18784169852733612,5.465960867279758e-06,0.002839594802210894,0.7164069231219913,0.2036383154820083,True,4.040363397433966e-06
H00,7,cross_port,472,0,250,0,81,0,0,True,accepted,2576,0.03224454075098038,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True,4.800318390563163e-06
H00,8,off_reconfiguration,-1,1,0,0,0,1,0,False,off_retreat_ik,2578,0.011268436908721924,,,,,,
H00,9,source,3,6,3,2,1,0,0,True,accepted,2778,0.18281617760658264,5.465960867279758e-06,0.002839594802210894,0.7164068850855514,0.2036383118994021,True,4.040363397433966e-06
H00,10,cross_port,473,0,6,0,2,0,0,True,accepted,2812,0.0339435413479805,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True,4.800318390563163e-06
H00,11,off_reconfiguration,-1,1,2,0,0,1,2,False,off_retreat_ik,2814,0.010619714856147766,,,,,,
H00,12,source,4,6,9,2,3,0,0,False,dense_motion_contract,3015,0.18012681603431702,0.00011378377899639631,0.04650027298795377,0.7185341375471646,0.2348175281211108,True,4.2183968859688115e-07
H00,13,cross_port,474,0,503,0,162,0,0,True,accepted,3062,0.04420985281467438,3.884601535620254e-05,0.008429144944009011,0.7295968811080068,0.22963532900349448,True,4.800318390563163e-06
H00,14,off_reconfiguration,-1,2,0,0,0,2,0,True,accepted,3064,0.040101006627082825,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True,0.6958100392761144
H00,15,source,5,9,6,3,2,0,0,False,dense_motion_contract,3265,0.18283065408468246,0.00011398075600500032,0.04663370240006611,0.7185341375471646,0.2348175281211108,True,4.2211969342176303e-07
H00,16,cross_port,475,0,253,0,82,0,0,True,accepted,3321,0.05193155258893967,3.884601535619991e-05,0.008429144944009011,0.7270508408526302,0.22668833225695753,True,8.87427134893537e-06
H00,17,off_reconfiguration,-1,2,1,0,0,2,1,False,off_retreat_ik,3323,0.01106637716293335,,,,,,
H00,18,source,6,9,13,3,4,0,0,True,accepted,3525,0.18513546884059906,4.790984346465883e-06,0.001774367186519255,0.6991259606203432,0.189847386953828,True,1.1076660420550333e-06
H00,19,cross_port,476,3,13,1,4,0,0,True,accepted,3561,0.03609488904476166,5.465960867240784e-06,0.002839594802210894,0.6991259606203432,0.1978496129493343,True,4.040363397433966e-06
H00,20,off_reconfiguration,-1,3,4,1,1,0,1,True,accepted,3563,0.04883795231580734,8.875864249942622e-06,0.002839594802210894,0.7164511400587935,0.0008410938647587298,True,1.212605715259932
H00,21,source,7,13,9,4,3,0,0,True,accepted,3765,0.18511782586574554,4.771169092482955e-06,0.0017706287714998503,0.6991259606203432,0.18984738816834631,True,1.1076660420550333e-06
H00,22,cross_port,477,3,497,1,160,0,0,True,accepted,3812,0.04626458138227463,5.465960867236328e-06,0.002839594802210894,0.7164511400587935,0.21307782299289107,True,4.040363397433966e-06
H00,23,off_reconfiguration,-1,3,5,1,1,0,2,True,accepted,3814,0.038716867566108704,5.465960867240784e-06,0.002839594802210894,0.7164511400587935,0.21307782299289107,True,0.6959528984787787
H00,24,source,8,13,16,4,5,0,0,False,dense_motion_contract,4016,0.18717309087514877,0.00014168571268665574,0.05799724058662839,0.6979544282199452,0.1978496129493343,True,1.1076660420550333e-06
H00,25,cross_port,478,3,510,1,164,0,0,True,accepted,4071,0.054775238037109375,5.465960867236328e-06,0.002839594802210894,0.7023856899819549,0.21307782299289107,True,4.040363397433966e-06
H00,26,off_reconfiguration,-1,4,3,1,1,1,0,True,accepted,4073,0.046442240476608276,8.875864249942622e-06,0.002839594802210894,0.7164511400587935,0.0008410938647587298,True,1.212605715259932
H00,27,source,9,16,13,5,4,0,0,False,dense_motion_contract,4275,0.18315687775611877,0.0001418786856231851,0.05813307731547343,0.697954470081655,0.1978496129493343,True,1.1076660420550333e-06
H00,28,cross_port,479,3,247,1,80,0,0,True,accepted,4337,0.060881152749061584,5.465960867240784e-06,0.002839594802210894,0.7164511400587935,0.21307782299289107,True,4.040363397433966e-06
H00,29,off_reconfiguration,-1,4,5,1,1,1,2,False,dense_motion_contract,4339,0.05159585177898407,8.875864249942622e-06,0.0003539815963723238,0.9371680560945599,0.0008410938647587298,False,0.8921574851491766
H00,30,source,10,16,19,5,6,0,0,True,accepted,4540,0.18853411078453064,5.251291877832346e-06,0.0020397604797490142,0.6709653977293131,0.17823817009240808,True,9.429930359072802e-07
H00,31,cross_port,480,6,250,2,81,0,0,True,accepted,4560,0.022409625351428986,7.196713926463678e-07,0.00028650435272393457,0.7305092487264503,0.24128955610035585,True,4.3342022224002186e-07
H00,32,off_reconfiguration,-1,5,3,1,1,2,0,True,accepted,4562,0.04018605500459671,5.465960867240784e-06,0.002839594802210894,0.7164511400587935,0.21307782299289107,True,0.6959528984787787
H00,33,source,11,19,16,6,5,0,0,True,accepted,4763,0.18484559655189514,5.255022881323657e-06,0.0020339397090595305,0.670965317365388,0.17823817009240808,True,8.460785963226858e-07
H00,34,cross_port,481,6,503,2,162,0,0,True,accepted,4795,0.03206887096166611,2.6622112719038905e-06,0.0006274934277545137,0.7295968811080068,0.24429795203043944,True,1.822212969487813e-06
H00,35,off_reconfiguration,-1,5,4,1,1,2,1,False,dense_motion_contract,4797,0.052205175161361694,8.875864249942622e-06,0.0003539815963723238,0.9371680560945599,0.0008410938647587298,False,0.8921574851491768
H00,36,source,12,19,22,6,7,0,0,True,accepted,4998,0.18218600004911423,1.9592745074934765e-05,0.003186402550102926,0.6864317119812948,0.17605381227818387,True,1.065851007822638e-05
H00,37,cross_port,482,6,0,2,0,0,0,True,accepted,5032,0.035197533667087555,3.884601535619991e-05,0.008429144944009011,0.7301012950517782,0.22963532900349448,True,4.800318390563163e-06
H00,38,off_reconfiguration,-1,6,7,2,2,0,1,False,off_retreat_ik,5034,0.010427609086036682,,,,,,
H00,39,source,13,22,19,7,6,0,0,True,accepted,5235,0.18449851125478745,1.9592745074934765e-05,0.003186402550102926,0.6864317119812948,0.17605381494179087,True,1.065851007822638e-05
H00,40,cross_port,483,6,247,2,80,0,0,True,accepted,5276,0.04020080715417862,7.196713926463678e-07,0.00010635566291894782,0.7309041247724429,0.22826721688143656,True,3.5457461092236464e-07
H00,41,off_reconfiguration,-1,6,8,2,2,0,2,True,accepted,5278,0.03870968520641327,2.6741284470928195e-06,0.00010635566291894782,0.7321638844566374,0.24429795203043944,True,0.6944161735538442
H00,42,source,14,22,26,7,8,0,0,True,accepted,5479,0.1875627264380455,1.9592745074978705e-05,0.003186402550102926,0.7005587531173371,0.22289391334138486,True,1.065851007822638e-05
H00,43,cross_port,484,6,497,2,160,0,0,True,accepted,5526,0.04772400110960007,7.196713926463678e-07,0.00010635566291894782,0.7297971196900984,0.22420295544724872,True,4.185239879939129e-07
H00,44,off_reconfiguration,-1,7,6,2,2,1,0,False,off_retreat_ik,5528,0.010703228414058685,,,,,,
H00,45,source,15,26,22,8,7,0,0,True,accepted,5729,0.18490804731845856,1.9592745074978705e-05,0.003186402550102926,0.7005587531173371,0.22289391334138486,True,1.065851007822638e-05
H00,46,cross_port,485,6,259,2,84,0,0,True,accepted,5782,0.051043882966041565,2.8619421185525016e-05,0.005492344316183452,0.7257003391629249,0.24429795203043944,True,9.70138145750532e-06
H00,47,off_reconfiguration,-1,7,8,2,2,1,2,False,off_retreat_ik,5784,0.011235915124416351,,,,,,
H00,48,source,16,26,29,8,9,0,0,False,dense_motion_contract,5985,0.18726865202188492,0.00011565885226925252,0.04727931385225309,0.7203069907224179,0.2613693222827985,True,1.71314952374102e-06
H00,49,cross_port,486,9,272,3,88,0,0,True,accepted,6016,0.032606787979602814,1.527986467421421e-05,0.0003387760488091772,0.7035123861761147,0.2348175281211108,True,8.084026262761279e-06
H00,50,off_reconfiguration,-1,8,6,2,2,2,0,True,accepted,6018,0.03918644040822983,2.6741284470928195e-06,0.00010635566291894782,0.7321638844566374,0.24429795203043944,True,0.6944161735538442
H00,51,source,17,29,26,9,8,0,0,False,dense_motion_contract,6219,0.19002602249383926,0.00011580275157128714,0.047390541552675386,0.7203069907224179,0.2613692444654155,True,1.71314952374102e-06
H00,52,cross_port,487,9,253,3,82,0,0,True,accepted,6252,0.032717250287532806,1.55152270693194e-05,0.0032870191137318724,0.7185341375471646,0.22668833225695753,True,8.87427134893537e-06
H00,53,off_reconfiguration,-1,8,7,2,2,2,1,False,off_retreat_ik,6254,0.011292174458503723,,,,,,
H00,54,source,18,29,32,9,10,0,0,True,accepted,6456,0.19437816739082336,4.117585069176098e-06,0.0016484308605371207,0.6771104779980475,0.20702388167843605,True,1.4800522670221916e-06
H00,55,cross_port,488,9,22,3,7,0,0,True,accepted,6500,0.04654601216316223,1.9592745074934765e-05,0.003186402550102926,0.7005587531173371,0.22289391334138486,True,1.065851007822638e-05
H00,56,off_reconfiguration,-1,9,10,3,3,0,1,True,accepted,6502,0.05767931044101715,1.0385461489504995e-06,9.279855813937256e-05,0.7185341375471646,0.11041434677416949,True,1.0712796757473741
H00,57,source,19,32,29,10,9,0,0,True,accepted,6704,0.18821899592876434,4.158782126176797e-06,0.001645466587972527,0.6771104391661925,0.20702388167843605,True,1.4800522670221916e-06
H00,58,cross_port,489,9,500,3,161,0,0,True,accepted,6753,0.0494096577167511,9.523852600549806e-06,0.0047314220544431304,0.7185341375471646,0.21870624009484507,True,3.4850498270566632e-06
H00,59,off_reconfiguration,-1,9,11,3,3,0,2,False,off_retreat_ik,6755,0.009793825447559357,,,,,,
H00,60,source,20,32,36,10,11,0,0,True,accepted,6957,0.18654704093933105,3.7792189960129643e-06,0.0013070011369104321,0.6693223003518796,0.16232624844252325,True,1.4800522670221916e-06
H00,61,cross_port,490,9,513,3,165,0,0,True,accepted,7015,0.055206216871738434,2.317864952999689e-06,0.0005712345473037783,0.7185341375471646,0.2348175281211108,True,9.751272470326366e-07
H00,62,off_reconfiguration,-1,9,12,3,3,0,3,True,accepted,7017,0.040211908519268036,3.2734245265638925e-07,2.066767164616705e-05,0.7185341375471646,0.2348175281211108,True,0.7001842447361408
H00,63,source,21,36,32,11,10,0,0,True,accepted,7219,0.18389709293842316,3.754898590764537e-06,0.0012995194968144998,0.6693223003518796,0.1623262421008957,True,1.4800522670221916e-06
H00,64,cross_port,491,9,526,3,169,0,0,True,accepted,7278,0.05930560082197189,5.358453533108744e-07,0.00030707616334145607,0.6845740570362949,0.233264453620139,True,5.109235968192571e-07
H00,65,off_reconfiguration,-1,10,9,3,3,1,0,True,accepted,7280,0.05901181697845459,1.0385461489504995e-06,9.279855813937256e-05,0.7185341375471646,0.11041434677416949,True,1.0712796757473741
H00,66,source,22,36,40,11,12,0,0,True,accepted,7482,0.18600928038358688,4.247194017781855e-05,0.006674546276844814,0.6348664013337041,0.16314434679045398,True,1.578932104145947e-05
H00,67,cross_port,492,13,3,4,1,0,0,True,accepted,7518,0.03521019220352173,5.465960867240784e-06,0.002839594802210894,0.6991259606203432,0.1978496129493343,True,4.040363397433966e-06
H00,68,off_reconfiguration,-1,10,11,3,3,1,2,False,off_retreat_ik,7520,0.010898709297180176,,,,,,
H00,69,source,23,40,36,12,11,0,0,True,accepted,7722,0.18473968654870987,4.247194017781855e-05,0.006674546276844814,0.634866553579274,0.16314434679045398,True,1.578932104145947e-05
H00,70,cross_port,493,13,19,4,6,0,0,True,accepted,7768,0.045844100415706635,1.4125515621757086e-06,0.0007962522989453025,0.6864317119812948,0.17823817009240808,True,1.1076660420550333e-06
H00,71,off_reconfiguration,-1,10,12,3,3,1,3,True,accepted,7770,0.06559758633375168,1.0385461489504995e-06,9.279855813937256e-05,0.9852645066025681,0.11041434677416949,True,1.1658629121860495
