scene_id,seed_index,seed_role,ik_found,admitted,position_error_m,axis_error_deg,sigma5,joint_margin,collision_free,status
H00,0,anchor_root,True,True,3.884601535619991e-05,0.008429145030486283,0.7301012950517782,0.22963532900349448,True,
H00,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H00,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H00,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H00,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H00,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H00,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H00,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
H01,0,anchor_root,True,True,5.454251610515947e-08,1.2074182697257333e-06,0.7129691505737142,0.2584444697205996,True,
H01,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H01,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H01,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H01,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H01,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H01,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H01,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
H02,0,anchor_root,True,True,1.8876110042060452e-05,0.00443413341530606,0.7308774662102784,0.25479586664593123,True,
H02,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H02,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H02,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H02,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H02,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H02,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H02,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
H03,0,anchor_root,True,True,1.5155289521828125e-08,2.4148365394514667e-06,0.70758607889512,0.2793300657342302,True,
H03,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H03,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H03,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H03,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H03,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H03,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H03,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
H04,0,anchor_root,True,True,3.944670261324715e-05,0.008960019215476615,0.71287323266046,0.2504316724199594,True,
H04,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H04,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H04,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H04,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H04,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H04,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H04,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
H05,0,anchor_root,True,True,3.365411421365545e-08,1.478779333471098e-06,0.6938154865077203,0.2779645196454244,True,
H05,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
H05,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
H05,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
H05,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
H05,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
H05,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
H05,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
