phase,scene_id,k,method,witness_hash,pointwise_counts_equal,different_cells,max_count_difference
TRANSFER,H00,1,A,b5f132e945eca027e7bfe1264f0f9fd9db24ef8646752bc75bc9eb24f9ed46dc,True,0,0
TRANSFER,H00,1,A,db27ebd31ffa0eaf77d32438d546b801702c8fd0bd4dbe933e9b485f81d8d13a,True,0,0
TRANSFER,H00,1,P,96e90a83de462de8e1a99df58d4a205a4dcf901e1dcea2a007d45e2e10ec388b,True,0,0
TRANSFER,H00,1,P,ed563cd95993ff2650f0c0b71c5b4ab35e162aab2ed880958bf73dbffe090565,True,0,0
TRANSFER,H00,2,P,885c68f071af8d739ca7f782e4f173f3661a12a0e0dbe5cd33d8a8646e158095,True,0,0
TRANSFER,H00,2,P,6d09827bc9d9d1818a381940f479f8e804e3f7348915d5d4f64730359e61cce5,True,0,0
TRANSFER,H00,2,A,b5f132e945eca027e7bfe1264f0f9fd9db24ef8646752bc75bc9eb24f9ed46dc,True,0,0
TRANSFER,H00,2,A,db27ebd31ffa0eaf77d32438d546b801702c8fd0bd4dbe933e9b485f81d8d13a,True,0,0
TRANSFER,H01,1,F,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H01,1,A,9636d389ebd4cd2cd5e1ecccd662d10d1786017184a0d88a52f607e4e2981eed,True,0,0
TRANSFER,H01,1,A,da8328d2f796257b0835f8ac180a092106f320e2a03165acdb2b7b46e52be903,True,0,0
TRANSFER,H01,1,A,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H01,1,P,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H01,2,F,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H01,2,P,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H01,2,A,9636d389ebd4cd2cd5e1ecccd662d10d1786017184a0d88a52f607e4e2981eed,True,0,0
TRANSFER,H01,2,A,da8328d2f796257b0835f8ac180a092106f320e2a03165acdb2b7b46e52be903,True,0,0
TRANSFER,H01,2,A,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,True,0,0
TRANSFER,H02,1,A,70ed32953911fa8f273284c3612649292869ead35778d0750bf855641abd7f6f,True,0,0
TRANSFER,H02,1,A,93ed9c01ebceeb6b90931f7ed2974ddb86745e7465a71f17f8fa1751d81e082e,True,0,0
TRANSFER,H02,1,P,2e856981affabcb96b886e5c22bb0d5493d6e82ec67fc0a371d4128c5169d47a,True,0,0
TRANSFER,H02,1,P,3e7c1098abf406ffc6de845835001fff9d7c3393ce7756848b90cd9cb5cb2cc4,True,0,0
TRANSFER,H02,2,F,6ed3f14a67015f615eddc272668a7ebdb404d257a279c1d742e049942eff7c4d,True,0,0
TRANSFER,H02,2,P,9c8bdacbcf50126599325742cceb88e97d3653597deac7d272898e72542dde36,True,0,0
TRANSFER,H02,2,P,5f2feb537cc87dd85762c8085ff2f4e14e1fe33118512e101bc59d68dc612905,True,0,0
TRANSFER,H02,2,P,6ed3f14a67015f615eddc272668a7ebdb404d257a279c1d742e049942eff7c4d,True,0,0
TRANSFER,H02,2,A,70ed32953911fa8f273284c3612649292869ead35778d0750bf855641abd7f6f,True,0,0
TRANSFER,H02,2,A,93ed9c01ebceeb6b90931f7ed2974ddb86745e7465a71f17f8fa1751d81e082e,True,0,0
TRANSFER,H02,2,A,6ed3f14a67015f615eddc272668a7ebdb404d257a279c1d742e049942eff7c4d,True,0,0
TRANSFER,H03,1,F,225be71a0099a06a93ce9a189d4a437a16baaaaca57a9a9c28a979d774d1c220,True,0,0
