phase,scene_id,k,method,event_id,edge_ids,edge_identity,start_monotonic_s,end_monotonic_s,duration_s,E_miss_Q2,E_rep_Q2,status,E_miss_Q3,E_rep_Q3,error,reservoir_retained,final_nominated
TRANSFER,H00,1,A,0,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1667, 1606, 2341, 363, 357]",2d161baf59d7f4dbdb62683a6b2e832cda838b1ebcfcafd6a12b5dd73f0a223b,0.13850483298301697,15.806213021278381,15.667708188295364,0.017888777925053122,0.04254513307651589,Q3_PASS,0.018228886344231972,0.041275501610256275,,True,True
TRANSFER,H00,1,A,1,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1667, 1606, 2341, 363, 357, 947]",d59d5b046026b0995303f15d23020bec19ed2c4b070f26fb676c18ffc34cd970,15.818163700401783,30.530069828033447,14.711906127631664,0.01644056201641319,0.04314021779325882,Q3_PASS,0.016716950594449678,0.04170046522997875,,True,True
TRANSFER,H00,1,A,2,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1667, 1606, 2341, 363, 357, 942]",24923886b8743ddef0dc626ac0d54b5195beb739cb2dcc7c9160e594575f7119,30.539027519524097,45.21285402029753,14.67382650077343,0.016951752062119865,0.04373404913389976,Q3_PASS,0.017185497747844006,0.042315469146076444,,True,False
TRANSFER,H00,1,A,3,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1667, 1606, 2341, 363, 357, 940]",1dd1c2a126dd35bd351209f6c6b2820a35c4cecc2eeb380c00ed8c3cf8e6485f,45.221099726855755,59.776679165661335,14.55557943880558,0.017803629010961237,0.044153508066410274,Q3_PASS,0.018143761663435246,0.04275590797229889,,True,False
TRANSFER,H00,1,P,0,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1665, 743, 1606, 2341, 363, 357]",9179854b5d679907fd71dee6642a78b46c4335f3d686bb6764db7c1767e87708,0.8576728478074074,17.634661227464676,16.77698837965727,0.017888777925053122,0.04278542499247516,Q3_PASS,0.018228886344231972,0.04143465716614536,,True,True
TRANSFER,H00,1,P,1,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1665, 743, 1606, 2341, 363, 357, 947]",2ac048f88d19946f4dfb0f2ef62db8bf940cb93d9fd6d1fee817d8322158b18c,17.642898358404636,32.53213577717543,14.88923741877079,0.01644056201641319,0.04338050970921809,Q3_PASS,0.016716950594449678,0.041859620785867836,,True,True
TRANSFER,H00,1,P,2,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1665, 743, 1606, 2341, 363, 357, 947, 2402]",b1b3f7649ece1995d314ea163bafffda1d3ed15db18dbc3d5e7c484971e89a28,32.547892823815346,47.673000916838646,15.1251080930233,0.016355413102321303,0.04448516581545246,Q3_PASS,0.01665311670620453,0.04268776591731172,,True,False
TRANSFER,H00,1,P,3,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 904, 1665, 743, 1606, 2341, 363, 357, 947, 2402, 1022]",6bf327b36457d1d7561449512eb76b1b4595c8345dfd044576a2cb308612ff68,47.67951509356499,62.73945640772581,15.059941314160824,0.016355413102321303,0.04482598959484597,Q3_PASS,0.01665311670620453,0.04281559337163686,,True,False
TRANSFER,H00,2,P,0,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 3806, 2264, 904, 1665, 743, 1606, 2341, 363, 357]",f97ac2b4f9be47b46f41db9504dddd1f62201efd423c9c8954c8b79b73e7b546,3.1542321145534515,19.27744922041893,16.12321710586548,0.017888777925053122,0.04702696975597341,Q3_PASS,0.018228886344231972,0.04580007935251649,,True,False
TRANSFER,H00,2,P,1,"[2415, 834, 840, 846, 852, 858, 864, 870, 876, 882, 888, 894, 900, 906, 911, 916, 922, 928, 933, 939, 944, 948, 954, 959, 964, 968, 972, 978, 983, 989, 995, 1000, 1005, 1011, 1016, 1021, 1027, 1033, 1039, 1045, 1051, 1057, 1063, 1068, 1074, 1079, 1085, 1090, 1096, 1102, 1106, 1111, 1116, 1122, 1127, 1133, 1138, 1144, 1150, 1155, 1161, 1167, 1173, 1179, 1185, 1190, 1195, 1201, 1207, 1213, 1219, 1224, 1229, 1235, 1241, 2387, 3806, 2264, 904, 1665, 743, 1606, 2341, 363, 357, 947]",ef57b8aeb6d177b8e78f8a79da647e833841782d6c0fe50ef7d35d6fc545b227,19.291418589651585,34.41625249385834,15.124833904206753,0.01644056201641319,0.04762205447271634,Q3_PASS,0.016716950594449678,0.04622504297223896,,True,True
