event_id,kind,witness_hash,scene_id,started_order,duration_s,status,ik_calls,failure_reason,failure_index
0,oracle_lift,0243dd9bc5b3315eac93cb2a30771e5bbbdfca1a7637e735aba43b419ec070bc,T33,0,16.62068986147642,lifted,46746,,
1,oracle_lift,225be71a0099a06a93ce9a189d4a437a16baaaaca57a9a9c28a979d774d1c220,H03,1,16.53228449076414,lifted,46521,,
2,oracle_lift,2e856981affabcb96b886e5c22bb0d5493d6e82ec67fc0a371d4128c5169d47a,H02,2,16.768296651542187,lifted,46871,,
3,oracle_lift,70ed32953911fa8f273284c3612649292869ead35778d0750bf855641abd7f6f,H02,3,16.62645121663809,lifted,46864,,
4,oracle_lift,96e90a83de462de8e1a99df58d4a205a4dcf901e1dcea2a007d45e2e10ec388b,H00,4,16.131662532687187,lifted,44966,,
5,oracle_lift,af321ba16887b91c76341ae1af1f6ed160670fb16d600bcc05ae9267e3e6bd78,H05,5,16.518102303147316,lifted,46534,,
6,oracle_lift,b5f132e945eca027e7bfe1264f0f9fd9db24ef8646752bc75bc9eb24f9ed46dc,H00,6,15.970053561031818,lifted,44961,,
7,oracle_lift,b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,H01,7,16.215738222002983,lifted,45876,,
8,oracle_lift,da8328d2f796257b0835f8ac180a092106f320e2a03165acdb2b7b46e52be903,H01,8,16.193445689976215,lifted,45894,,
9,oracle_lift,e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,T30,9,16.04827294498682,lifted,45133,,
10,oracle_lift,ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534,T27,10,16.488044820725918,lifted,45863,,
11,oracle_lift,f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4,H04,11,15.40558672696352,lifted,43344,,
