scene_id,seed_index,seed_role,ik_found,admitted,position_error_m,axis_error_deg,sigma5,joint_margin,collision_free,status
TR00,0,anchor_root,True,True,1.2247503496003631e-08,2.0913097891518726e-06,0.7141721539024961,0.2579872048059135,True,
TR00,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR00,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,0,anchor_root,True,True,8.480927820466153e-08,2.2524095754713237e-05,0.7294827092502019,0.22865507815244415,True,
TR01,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR01,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,0,anchor_root,True,True,3.4971793666852013e-07,3.421491895486857e-05,0.7078934308172177,0.2815316297487196,True,
TR02,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR02,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,0,anchor_root,True,True,1.2977186959978867e-07,4.543487835731119e-05,0.7202443152030213,0.22460842698901293,True,
TR03,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
TR03,7,uniform_4,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,0,anchor_root,True,True,4.036768012436664e-07,3.4150945850063763e-06,0.7151603524395359,0.2525245144419342,True,
TR04,1,home,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,2,hemisphere_source,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,3,uniform_0,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,4,uniform_1,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,5,uniform_2,,,,,,,,NOT_RUN_after_first_admitted_root
TR04,6,uniform_3,,,,,,,,NOT_RUN_after_first_admitted_root
