scene_id,split,method,witness_hash,graph_validation,program_hash,token_count,candidate_lift,candidate_validation,ik_calls
TR00,TRAIN,P,55c78aa377f5d781bbb3348fa6d22e60711a37e87644d931346f08dc809a26f6,accepted_under_E09_R1_refined_sampled_checks,6d7cc18611d0d70fedd7790f065bc7cd9b1be69b2bbdd8cd726e3f451ad423eb,8,lifted,accepted_under_E12_refined_sampled_checks,45104
TR00,TRAIN,P,1f9996060945165332694d365bd6cb65e418e612a12a28059bdd9aad6fd20c9d,accepted_under_E09_R1_refined_sampled_checks,8b40a878d7d64bc1ab5843303f6d41fae0a8e66f5fdb5ab56b6f84a148516071,9,lifted,accepted_under_E12_refined_sampled_checks,45180
TR04,TRAIN,F,7d7e78eb63c340f548c5bc8939878c10c4e52e186aa0d4067647edd26a7fa81c,accepted_under_E09_R1_refined_sampled_checks,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,lifted,accepted_under_E12_refined_sampled_checks,45792
TR04,TRAIN,P,757acbc5eecd86293926f3506b8484c27809950b68f3b810a0526dc6a85a417b,accepted_under_E09_R1_refined_sampled_checks,53176e224c69b3fdf357501997ced53d0723937fed94895e7edc7e54302ef952,2,lifted,accepted_under_E12_refined_sampled_checks,46104
TR16,TRAIN,P,344f4c8c2a5374b88eb42df8cd3b5d88b848cfba3a1427db0a12214e9fb888fc,accepted_under_E09_R1_refined_sampled_checks,22de4fbb7c4a755f13c1fab063c5cf905a4868e597857d86dfbda7113b6a66bf,16,lifted,accepted_under_E12_refined_sampled_checks,16344
TR16,TRAIN,P,1364e0a6bd41ea58807297e05389ff8366e161fb5658c6ec70402f14b985079d,accepted_under_E09_R1_refined_sampled_checks,08e262ec637aeee60e114828f63ccf805de7ec4f9e611cdc93a9e58fb91196e3,17,lifted,accepted_under_E12_refined_sampled_checks,49124
TR01,TRAIN,P,9494d23e2fc08733f3e7ab2c55b9ffaa83905cd564cce06130dfd1757f4c714e,accepted_under_E09_R1_refined_sampled_checks,62b939ba6e6117b3bc69c30e71f70a0437db3c8d46b3fcc4cda02af7a3a3e09a,8,lifted,accepted_under_E12_refined_sampled_checks,45061
TR01,TRAIN,P,0259ae8cbbbc0d992c123041d8cd70473e4e3079ed25819b850f3c6625e288b5,accepted_under_E09_R1_refined_sampled_checks,e13411e73ce0a9eb8583f24b2b94271be6ccbd74712fdf499e39d7bd37e5687d,9,lifted,accepted_under_E12_refined_sampled_checks,45101
TR13,TRAIN,A,2530634f472218e79778eb2b623561884c207e4ce7ce2c295469691d054d3c62,accepted_under_E09_R1_refined_sampled_checks,4719f32644e38150c79f61f659fe4f2a7720f802e8fdbba55da763474d7aba7a,11,lifted,accepted_under_E12_refined_sampled_checks,43524
VA01,VALIDATION,P,5ce4ccd65834205805cc86defb393d86857c0be1646dc0e55278da43926f956f,accepted_under_E09_R1_refined_sampled_checks,965482892936c349952a93bad65339557a2596379792cdcd77c51030ac677928,17,lifted,accepted_under_E12_refined_sampled_checks,43995
VA01,VALIDATION,P,b19c7a19c3f5ff379b06103e43eadaa010cfd7e14fe60d52ab1d1ff0ec1aa088,accepted_under_E09_R1_refined_sampled_checks,d2e3cac74f57751ced61c645aaa6cf745f3ff2bc37a511a2147e0a71a41a62ef,18,lifted,accepted_under_E12_refined_sampled_checks,44068
TR02,TRAIN,F,8ffbc319c69950b87e20bfdb0bbd3fb23dae9bd2cc7afbd5fa39d8e37e3e3d02,accepted_under_E09_R1_refined_sampled_checks,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,lifted,accepted_under_E12_refined_sampled_checks,45881
TR02,TRAIN,P,6581c50275bafacb33a5804521693fcb2fffb2bb9d3411f7d2245a7f7adc8bcb,accepted_under_E09_R1_refined_sampled_checks,53176e224c69b3fdf357501997ced53d0723937fed94895e7edc7e54302ef952,2,lifted,accepted_under_E12_refined_sampled_checks,46193
TR10,TRAIN,F,c96bf8c2e46665792c8accb3368ee19fdf431d48f8e4326f199a82e4c14cf654,accepted_under_E09_R1_refined_sampled_checks,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,lifted,accepted_under_E12_refined_sampled_checks,15555
TR10,TRAIN,P,affeeae35608a0fa61f67a6dbb0973af059aa7cd558e10ec7bd7d159dc74bedf,accepted_under_E09_R1_refined_sampled_checks,53176e224c69b3fdf357501997ced53d0723937fed94895e7edc7e54302ef952,2,lifted,accepted_under_E12_refined_sampled_checks,15711
TR14,TRAIN,A,160e633ceac904120cbf1f07920d826caf98d3a9c0273b02b4aecfe8be809b40,accepted_under_E09_R1_refined_sampled_checks,4697a0d70675675b9d57e03e9f9605bd12b1c3e07741f4b7b114744a5fb3cf19,24,lifted,accepted_under_E12_refined_sampled_checks,47173
TR14,TRAIN,A,27d287f72a3abbb8f09f56a27c7e6fc1db4b9d0dce1333984937749d92b9aaf9,accepted_under_E09_R1_refined_sampled_checks,03c9e15974bb2228f857407e29af79780a7630de9324fa7d4662ad9c21f915ad,25,lifted,accepted_under_E12_refined_sampled_checks,47294
TR18,TRAIN,P,7bc4cd0c8bd59e588bf88c28f9b6bdeb4f2c68fba90e9310091a0bc177d06f52,accepted_under_E09_R1_refined_sampled_checks,965482892936c349952a93bad65339557a2596379792cdcd77c51030ac677928,17,lifted,accepted_under_E12_refined_sampled_checks,44017
TR18,TRAIN,P,7427d11767ef404c9194f3717abcd7af9e5663aefa791e8a82ee90c7797cf57e,accepted_under_E09_R1_refined_sampled_checks,d2e3cac74f57751ced61c645aaa6cf745f3ff2bc37a511a2147e0a71a41a62ef,18,lifted,accepted_under_E12_refined_sampled_checks,44090
TR03,TRAIN,A,4ac6dda61d361cfb331edbfe75d3c7a8c8e58207f7e93e7531e0ff04d0cd1df9,accepted_under_E09_R1_refined_sampled_checks,1751ad3aebff8555e48438a1ef3ba4663ae6fedce63c52e8db328ad2f25ea5ce,21,lifted,accepted_under_E12_refined_sampled_checks,46213
TR03,TRAIN,A,ef8711c49385820a29ff071709bca2ab744d6e154ad44d39772af3ad17bb534d,accepted_under_E09_R1_refined_sampled_checks,7f58b0f5f8bbad698c9b4342b5b9519ed380e89e620494993a3b785a34c9d430,22,lifted,accepted_under_E12_refined_sampled_checks,46219
