witness_hash,scene_id,referenced_by,actual_on_segments,eligible_single_on,encoding_status,program_hash,token_count,scan_tokens,via_tokens,max_position_reconstruction_m,max_axis_reconstruction_rad,membership_identity,roundtrip_pass,failure
e9f35f7423a10921fd72018d1c9ab2be0f0cb668c5a54832246fafba47d9e9e7,T30,DEV/T30/k1/A;DEV/T30/k1/P,1,True,encoded,6d7cc18611d0d70fedd7790f065bc7cd9b1be69b2bbdd8cd726e3f451ad423eb,8,4,3,7.706566394095051e-16,5.504690281496464e-15,True,True,
ed61ae788427d29ca716b97e30affc5d69cdf60f704aa5faedf3e4e11aeb1534,T27,DEV/T27/k1/F;DEV/T27/k1/P;DEV/T27/k1/A;DEV/T27/k1/A_root,1,True,encoded,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,1,0,7.964194638035722e-16,5.688710455739801e-15,True,True,
0243dd9bc5b3315eac93cb2a30771e5bbbdfca1a7637e735aba43b419ec070bc,T33,DEV/T33/k1/P;DEV/T33/k1/A,1,True,encoded,8eae5ba972ed3e55deff137680187417663509d7a3aec322b442e5bdb9c1fe77,6,2,3,7.868400498278668e-16,5.620286070199048e-15,True,True,
b5f132e945eca027e7bfe1264f0f9fd9db24ef8646752bc75bc9eb24f9ed46dc,H00,TRANSFER/H00/k1/A;TRANSFER/H00/k2/A,1,True,encoded,696790d18a6e249a1646a5dafdb4d9519f220b5bdd8aa207f283f0a1e216a4e3,8,2,5,7.774213143068291e-16,5.553009387905921e-15,True,True,
96e90a83de462de8e1a99df58d4a205a4dcf901e1dcea2a007d45e2e10ec388b,H00,TRANSFER/H00/k1/P,1,True,encoded,e1da4b7e0e6e0c9825650781bfdeac15725fe5960e1012d9d3f85ad85f61032f,9,2,6,7.774213143068291e-16,5.553009387905921e-15,True,True,
885c68f071af8d739ca7f782e4f173f3661a12a0e0dbe5cd33d8a8646e158095,H00,TRANSFER/H00/k2/P,2,False,failed,,,,,,,,False,ValueError: OFF_or_multiple_ON_outside_scope
b7a23bb6618850fc11c2e63ebb0be8ce42d25821c688831aa19495e1d8e2442c,H01,TRANSFER/H01/k1/F;TRANSFER/H01/k1/P;TRANSFER/H01/k2/F;TRANSFER/H01/k2/P,1,True,encoded,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,1,0,7.712655487663381e-16,5.509039634045272e-15,True,True,
da8328d2f796257b0835f8ac180a092106f320e2a03165acdb2b7b46e52be903,H01,TRANSFER/H01/k1/A;TRANSFER/H01/k2/A,1,True,encoded,f89454ee03a0523a94280d25be12940539a071d5bdcc48208709aee7bb9dc467,7,3,3,7.712655487663381e-16,5.509039634045272e-15,True,True,
70ed32953911fa8f273284c3612649292869ead35778d0750bf855641abd7f6f,H02,TRANSFER/H02/k1/A;TRANSFER/H02/k2/A,1,True,encoded,db6820ff08f80cafd04e30f5ba307cd71bfee3025c7ab35258ff712bd0f37ae3,8,2,5,7.919615903022117e-16,5.656868502158654e-15,True,True,
2e856981affabcb96b886e5c22bb0d5493d6e82ec67fc0a371d4128c5169d47a,H02,TRANSFER/H02/k1/P,1,True,encoded,45567d6bc745a9ea491287afc7567c69bd45d77079165078bbd4c261adb32912,9,2,6,7.919615903022117e-16,5.656868502158654e-15,True,True,
6ed3f14a67015f615eddc272668a7ebdb404d257a279c1d742e049942eff7c4d,H02,TRANSFER/H02/k2/F,2,False,failed,,,,,,,,False,ValueError: OFF_or_multiple_ON_outside_scope
9c8bdacbcf50126599325742cceb88e97d3653597deac7d272898e72542dde36,H02,TRANSFER/H02/k2/P,2,False,failed,,,,,,,,False,ValueError: OFF_or_multiple_ON_outside_scope
225be71a0099a06a93ce9a189d4a437a16baaaaca57a9a9c28a979d774d1c220,H03,TRANSFER/H03/k1/F;TRANSFER/H03/k1/A;TRANSFER/H03/k1/P;TRANSFER/H03/k2/F;TRANSFER/H03/k2/P;TRANSFER/H03/k2/A,1,True,encoded,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,1,0,7.946245461408222e-16,5.675889615291587e-15,True,True,
f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4,H04,TRANSFER/H04/k1/A;TRANSFER/H04/k1/P;TRANSFER/H04/k2/P;TRANSFER/H04/k2/A,1,True,encoded,62b939ba6e6117b3bc69c30e71f70a0437db3c8d46b3fcc4cda02af7a3a3e09a,8,4,3,7.994666568624029e-16,5.710476120445734e-15,True,True,
af321ba16887b91c76341ae1af1f6ed160670fb16d600bcc05ae9267e3e6bd78,H05,TRANSFER/H05/k1/F;TRANSFER/H05/k1/A;TRANSFER/H05/k1/P;TRANSFER/H05/k2/F;TRANSFER/H05/k2/P;TRANSFER/H05/k2/A,1,True,encoded,fa2e9a44fcf95a12a1cfbad4994c7448b2036180a36c9173e7a6c94ee5c9a9c4,2,1,0,7.94891486789474e-16,5.677796334210528e-15,True,True,
