J_q,actual_E_NUC,actual_E_miss,actual_E_rep,collision_scope,failure_reason,family,family_index,geometry_projection_max_m,ik_calls,intended_E_NUC,intended_E_miss,intended_E_rep,max_axis_error_degrees,max_position_error_m,min_joint_margin,min_sigma_min_5,missing_legal_reconfiguration,on_segments,placement_level,reference_found,runtime_s,scene_id,surface_id,witness_file
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,4.163336342344337e-17,0,0.7178411764579845,0.12865995788050197,0.5891812185774825,,,,,False,1,P_mid,False,7.395069040358067,T27,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.25,1,4.163336342344337e-17,0,0.7580767504636281,0.1279291181632661,0.630147632300362,,,,,False,1,P_mid,False,7.230923630297184,T27,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,2,4.163336342344337e-17,0,1.251613859383955,0.01627435114085202,1.235339508243103,,,,,False,1,P_mid,False,9.997799567878246,T27,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,3,4.163336342344337e-17,0,0.6764536150911329,0.14756320960432384,0.528890405486809,,,,,False,1,P_mid,False,7.155432842671871,T27,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,4.163336342344337e-17,0,0.7178411764579845,0.12865995788050197,0.5891812185774825,,,,,False,1,P_low,False,7.229558035731316,T30,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.25,1,4.163336342344337e-17,0,0.7580767504636281,0.1279291181632661,0.630147632300362,,,,,False,1,P_low,False,7.254361294209957,T30,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_v_phase_0.00,2,4.163336342344337e-17,0,1.251613859383955,0.01627435114085202,1.235339508243103,,,,,False,1,P_low,False,10.10370822250843,T30,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,spiral_phase_0.00,3,4.163336342344337e-17,0,0.6764536150911329,0.14756320960432384,0.528890405486809,,,,,False,1,P_low,False,7.215777680277824,T30,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.00,0,4.163336342344337e-17,0,0.7178411764579845,0.12865995788050197,0.5891812185774825,,,,,False,1,P_high,False,7.2296421229839325,T33,hemisphere,
,,,,"existing MuJoCo self-collision pairs only; workpiece, tool body beyond the model, and external environment are not added",intended_coverage_failure,raster_u_phase_0.25,1,4.163336342344337e-17,0,0.7580767504636281,0.1279291181632661,0.630147632300362,,,,,False,1,P_high,False,7.325689643621445,T33,hemisphere,
