count,grand_mean,interaction_residual_variance_fraction,metric,remesh_mean_range,remesh_mean_relative_range,root_mean_range,root_mean_relative_range,scope,surface_id
32,0.5848313370129827,0.1370502096736519,E_NUC,0.11935219261327035,0.20407968085783482,0.054117058126080364,0.09253447054065608,geometry,saddle
32,5.001715602475777,0.0887402263413907,L_S,0.5488752478536298,0.10973739642092896,0.20246997727648353,0.040480105901315906,geometry,saddle
32,21.310761001361072,0.18338889971982256,J_q,2.85216618144716,0.1338368996426265,1.5121910836421435,0.07095903724627962,P_low,saddle
32,4.259740011146157,0.6880153324859235,C_q,0.10501668728908609,0.02465330912550917,0.26544073663300694,0.06231383510224736,P_low,saddle
32,1.0,,lift_success,0.0,0.0,0.0,0.0,P_low,saddle
31,20.360717887917286,0.6799091754736529,J_q,2.0425466303683173,0.10031800654634242,1.8190103006261111,0.08933920260766302,P_mid,saddle
31,4.070391870092069,0.8334367472478974,C_q,0.19551124469736436,0.04803253616289825,0.2781841842133197,0.06834334213797144,P_mid,saddle
32,0.96875,0.6774193548387096,lift_success,0.125,0.12903225806451613,0.25,0.25806451612903225,P_mid,saddle
31,18.624345133757124,0.5204705053037949,J_q,2.776389114122349,0.1490731133998408,1.1331482316977954,0.060842312766419576,P_high,saddle
31,3.721878041243764,0.7770892363606816,C_q,0.1472068410136531,0.03955176375539163,0.3004318692553416,0.08072050344641178,P_high,saddle
32,0.96875,0.6774193548387096,lift_success,0.125,0.12903225806451613,0.25,0.25806451612903225,P_high,saddle
32,0.601149412160835,0.02685590022156736,E_NUC,0.09787254280125401,0.16280901356860786,0.0110005260945496,0.01829915470599588,geometry,hemisphere
32,9.154886845172669,0.014342256680358023,L_S,1.306844825582825,0.14274833186735875,0.0451585395416938,0.0049327250358649375,geometry,hemisphere
2,112.09489398565019,1.0,J_q,3.32454958471223,0.029658349872187947,3.32454958471223,0.029658349872187947,P_low,hemisphere
2,11.90770348061819,1.0,C_q,0.018758514016560923,0.0015753259263714108,0.018758514016560923,0.0015753259263714108,P_low,hemisphere
32,0.0625,0.7333333333333333,lift_success,0.125,2.0,0.25,4.0,P_low,hemisphere
11,106.07894813159322,0.5261852840393814,J_q,5.841770257926399,0.055070024362228374,4.910944749907742,0.04629518708854097,P_mid,hemisphere
11,11.292195215597628,0.5119059885033543,C_q,0.1350540508001874,0.011959946513645158,0.24383932228330707,0.021593615557274275,P_mid,hemisphere
32,0.34375,0.645021645021645,lift_success,0.625,1.8181818181818181,0.5,1.4545454545454546,P_mid,hemisphere
0,,,J_q,,,,,P_high,hemisphere
0,,,C_q,,,,,P_high,hemisphere
32,0.0,,lift_success,0.0,,0.0,,P_high,hemisphere
