evaluation,median_best_actual_L_q,method
1,0.2409339375998299,M1
2,0.24080751330272526,M1
3,0.23497512993138342,M1
4,0.23497512993138342,M1
5,0.23497512993138342,M1
6,0.23426741695977965,M1
7,0.23426741695977965,M1
8,0.2335717976298613,M1
9,0.2335717976298613,M1
10,0.23351275192700327,M1
11,0.23351275192700327,M1
12,0.23351275192700327,M1
13,0.23351275192700327,M1
14,0.23351275192700327,M1
15,0.23351275192700327,M1
16,0.23351275192700327,M1
17,0.23351275192700327,M1
18,0.23351275192700327,M1
19,0.23351275192700327,M1
20,0.2332015652791232,M1
21,0.23313560286245488,M1
22,0.23313560286245488,M1
23,0.23313560286245488,M1
24,0.23313560286245488,M1
25,0.23313560286245488,M1
26,0.23313560286245488,M1
27,0.23313560286245488,M1
28,0.23313560286245488,M1
29,0.23313560286245488,M1
30,0.23313560286245488,M1
31,0.23313560286245488,M1
32,0.23313560286245488,M1
33,0.23313560286245488,M1
34,0.23313560286245488,M1
35,0.23313560286245488,M1
36,0.23313560286245488,M1
37,0.23313560286245488,M1
38,0.23313560286245488,M1
39,0.23313560286245488,M1
40,0.23313560286245488,M1
41,0.23313560286245488,M1
42,0.23313560286245488,M1
43,0.23313560286245488,M1
44,0.23313560286245488,M1
45,0.23313560286245488,M1
46,0.23313560286245488,M1
47,0.23313560286245488,M1
48,0.23313560286245488,M1
49,0.23313560286245488,M1
50,0.23313560286245488,M1
51,0.23313560286245488,M1
52,0.23313560286245488,M1
53,0.23313560286245488,M1
54,0.23313560286245488,M1
55,0.23313560286245488,M1
56,0.23313560286245488,M1
57,0.23313560286245488,M1
58,0.23313560286245488,M1
59,0.23313560286245488,M1
60,0.23313560286245488,M1
1,0.2409339375998299,M2
2,0.24080751330272526,M2
3,0.23497512993138342,M2
4,0.23497512993138342,M2
5,0.23497512993138342,M2
6,0.23426741695977965,M2
7,0.23426741695977965,M2
8,0.2335717976298613,M2
9,0.2335717976298613,M2
10,0.23351275192700327,M2
11,0.23351275192700327,M2
12,0.23351275192700327,M2
13,0.23351275192700327,M2
14,0.23351275192700327,M2
15,0.23351275192700327,M2
16,0.23351275192700327,M2
17,0.23351275192700327,M2
18,0.23351275192700327,M2
19,0.23351275192700327,M2
20,0.2332015652791232,M2
21,0.23313560286245488,M2
22,0.23313560286245488,M2
23,0.23313560286245488,M2
24,0.23313560286245488,M2
25,0.23313560286245488,M2
26,0.23313560286245488,M2
27,0.23313560286245488,M2
28,0.23313560286245488,M2
29,0.23313560286245488,M2
30,0.23313560286245488,M2
31,0.23313560286245488,M2
32,0.23313560286245488,M2
33,0.23313560286245488,M2
34,0.23313560286245488,M2
35,0.23313560286245488,M2
36,0.23313560286245488,M2
37,0.23313560286245488,M2
38,0.23313560286245488,M2
39,0.23313560286245488,M2
40,0.23313560286245488,M2
41,0.23313560286245488,M2
42,0.23313560286245488,M2
43,0.23313560286245488,M2
44,0.23313560286245488,M2
45,0.23313560286245488,M2
46,0.23313560286245488,M2
47,0.23313560286245488,M2
48,0.23313560286245488,M2
49,0.23313560286245488,M2
50,0.23313560286245488,M2
51,0.23313560286245488,M2
52,0.23313560286245488,M2
53,0.23313560286245488,M2
54,0.23313560286245488,M2
55,0.23313560286245488,M2
56,0.23313560286245488,M2
57,0.23313560286245488,M2
58,0.23313560286245488,M2
59,0.23313560286245488,M2
60,0.23313560286245488,M2
