dx,dy,dz,method,sample,window_id,x,y,z
,,,M0,0,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
,,,M0,1,saddle_P_high_W03,-0.04500000000000001,-0.08250000000000002,-0.007050000000000002
,,,M0,2,saddle_P_high_W03,-0.04666666666666672,-0.08333333333333337,-0.007
,,,M0,3,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.0069500000000000065
,,,M0,4,saddle_P_high_W03,-0.05000000000000003,-0.085,-0.0069
,,,M0,5,saddle_P_high_W03,-0.05166666666666668,-0.08583333333333334,-0.006850000000000004
,,,M0,6,saddle_P_high_W03,-0.0533333333333334,-0.0866666666666667,-0.006799999999999999
,,,M0,7,saddle_P_high_W03,-0.05500000000000006,-0.08750000000000004,-0.006749999999999998
,,,M0,8,saddle_P_high_W03,-0.056666666666666705,-0.08833333333333333,-0.006699999999999994
,,,M0,9,saddle_P_high_W03,-0.05500000000000006,-0.08750000000000004,-0.006749999999999998
,,,M0,10,saddle_P_high_W03,-0.0533333333333334,-0.0866666666666667,-0.006799999999999999
,,,M0,11,saddle_P_high_W03,-0.05166666666666668,-0.08583333333333334,-0.006850000000000004
,,,M0,12,saddle_P_high_W03,-0.05000000000000003,-0.085,-0.0069
,,,M0,13,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.0069500000000000065
,,,M0,14,saddle_P_high_W03,-0.04666666666666672,-0.08333333333333337,-0.007
,,,M0,15,saddle_P_high_W03,-0.04500000000000001,-0.08250000000000002,-0.007050000000000002
,,,M0,16,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
,,,M0,17,saddle_P_high_W03,-0.04166666666666665,-0.08083333333333334,-0.007150000000000008
,,,M0,18,saddle_P_high_W03,-0.03999999999999998,-0.08000000000000002,-0.007200000000000005
,,,M0,19,saddle_P_high_W03,-0.04119047619047619,-0.07880952380952379,-0.006771428571428567
,,,M0,20,saddle_P_high_W03,-0.042380952380952346,-0.07761904761904763,-0.006342857142857149
,,,M0,21,saddle_P_high_W03,-0.04357142857142864,-0.07642857142857144,-0.0059142857142857035
,,,M0,22,saddle_P_high_W03,-0.04476190476190477,-0.07523809523809526,-0.005485714285714287
,,,M0,23,saddle_P_high_W03,-0.045952380952381,-0.07404761904761906,-0.005057142857142849
,,,M0,24,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
,,,M0,25,saddle_P_high_W03,-0.04833333333333335,-0.07166666666666671,-0.004200000000000004
,,,M0,26,saddle_P_high_W03,-0.04714285714285712,-0.07285714285714291,-0.004628571428571441
,,,M1,0,saddle_P_high_W03,-0.0433333333333333,-0.08166666666666667,-0.007100000000000008
,,,M1,1,saddle_P_high_W03,-0.04500000000000001,-0.08250000000000003,-0.007050000000000008
,,,M1,2,saddle_P_high_W03,-0.04666666666666672,-0.08333333333333338,-0.007000000000000006
,,,M1,3,saddle_P_high_W03,-0.04833333333333332,-0.08416666666666668,-0.006950000000000008
,,,M1,4,saddle_P_high_W03,-0.05000000000000003,-0.085,-0.0069
