J_q,admitted,anisotropy_level,expanded_states,failure_reason,formulation,generated_candidates,selected_update,solve_time,solver_solved,strict_pass,surface_candidate_id,surface_id,window_id
0.29116935690982326,True,P_high,24,,F1,93,False,0.19343402236700058,True,True,fixed_surface,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,0,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,0,hemisphere,hemisphere_P_high_W00
0.2999708676326883,True,P_high,0,,F2,25,False,,True,True,1,hemisphere,hemisphere_P_high_W00
0.2999583171090159,True,P_high,24,,F3,70,False,0.07449900358915329,True,True,1,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,2,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F3,0,False,,False,,2,hemisphere,hemisphere_P_high_W00
0.302438933203395,True,P_high,0,,F2,25,False,,True,True,3,hemisphere,hemisphere_P_high_W00
0.3023838286731096,True,P_high,24,,F3,70,False,0.10071348678320646,True,True,3,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,4,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F3,0,False,,False,,4,hemisphere,hemisphere_P_high_W00
0.30561011760110257,True,P_high,0,,F2,25,False,,True,True,5,hemisphere,hemisphere_P_high_W00
0.3056610606513904,True,P_high,24,,F3,70,False,0.12049067486077547,True,True,5,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,6,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,6,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,7,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,7,hemisphere,hemisphere_P_high_W00
0.3208165193395581,True,P_high,0,,F2,25,False,,True,True,8,hemisphere,hemisphere_P_high_W00
0.3208442849749483,True,P_high,24,,F3,70,False,0.2945862440392375,True,True,8,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,9,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F3,0,False,,False,,9,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,10,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F3,0,False,,False,,10,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,11,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,11,hemisphere,hemisphere_P_high_W00
0.29863949812878676,True,P_high,0,,F2,25,False,,True,True,12,hemisphere,hemisphere_P_high_W00
0.29859897958324855,True,P_high,24,,F3,70,False,0.16294894367456436,True,True,12,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,13,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F3,0,False,,False,,13,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,14,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,14,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F2,0,False,,False,,15,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_length,F3,0,False,,False,,15,hemisphere,hemisphere_P_high_W00
,,P_high,0,surface_topology_or_turn,F2,0,False,,False,,16,hemisphere,hemisphere_P_high_W00
